Vocab_range,CEFR_level,Years_studying_L2,L1,Domain_of_specialization,Stay_duration_weeks,Stay_frequency,Language_exposure,L2,Dialang_writing_score,Reading_frequency,Other_language,Student_text,Reinforced_section
C1,B2,14.0,French,Computer_science_and_electronics,1.0,1,10.0,Anglais,B1,monthly,,"As I have no idea of what I should talk about. I think the best thing to do here is explain the last thing interesting I saw on the internet. So, earlier this week, the Blizzcon 2018 took place in Paris. The Blizzcon is organised by Blizzard, one of the most famous firm in the video games industry. This year they announced a lot of new games that'll be available next year. The one that caught my attention is Warcraft III - Reforged. Let me tell you about Warcraft III first. Warcraft III is a RTS (real-time strategy) that went out in 2002. It was one of the best game at the time due to a stunning and very rich lore, also the gameplay was really immersive for the year. What is very interesting with the Reforged version is that it will be the same game but, with everything upgraded. The developers are making a new interface, new characters models, new campaigns and scenarios and mainly the game will support the 4K which is awesome as we had to play in very low quality.
 Consequences of this annoucement are multiple. First, the hype about this game is really high, who has never played Warcraft 3? Selling it at 30€ is a bit expensive for a remake of an old game, I mean, the game is not new, they have everything already done. They just need to do it again with today technologies. Also, it's quiet certain that Blizzard will organize e-sport event around W3 Reforged to make money. A game like that can gather a lot of players because it awake nostalgia in everyone older than 20/25 years old.",1
A2,A2,11.0,French,Pharmacy,5.0,3,2.0,Anglais,B1,never,,"Since October 2017, a new vaccine have been traded in Paris : Gardasil 9. It contains 9 types of papillomavirus while the previous one contained only 4 strains.
It's a non obligate vaccine. The Sécurité Sociale pay the vaccination only for women between 10-17 years old (also for women until 19 years old if they are virgin).
To be totally covered you need 3 injections spaced of 2 months.
This discover can avoid a lot of uterus' cancers.
 In my opinion, it's a good thing to develop and improve the world of vaccination. It can save",1
A2,A1,3.0,Arabic,Computer_science_and_electronics,1.0,300,1.0,Anglais,A1,monthly,,"Last year i made many applications in android language , i have read courses in internet that helped me so much because this is the first time that i work with the android language.
this is application is about baby photos frames.it's know on google play store  and i took five stars and it have downloaded by many person also i's shared on social media like facebook.
 i like very much this experience because i discovered the self education wich allow me to have more selfconfidence so making me more skills and i can learn other language. this experience gives me the Opportunity to overcome the challenges.",0
A2,A2,11.0,French,Sports,4.0,3,2.0,Anglais,A2,monthly,German,"I practice and i see lot of football's game. That's why i'm going to talk about the VAR in football. The VAR it's a tool to help referee to can make a judgment when the action is difficult. The VAR was introduice since five years i think maybe four. It's a subject to debate in lot of situation. Because VAR can see image invisible to the naked eye. So thats why some questions on VAR are posed.
In a first time, i give my opinion.
And in a second time, i would try to give the positifs points and the negatives points.
 For me the VAR can be very interessant to help the referee. I think the VAR is very good for the game in general because all people can be do a mistake and the VAR are here to repare this mistake.
But all people are not agree with VAR. Like Alex Dupont said ""VAR is bullshit"".
I think the VAR can not repare all mistakes but it's a good invention.",0
B1,A2,11.0,French,Medicine,1.0,1,15.0,Anglais,B2,never,,"I heard recently a prodigious innovation in medecine ; some engineers create an informatic program who permits to doctors, when they see a patient, to check information about the medical case and the program gives to them the disease of the patient ! Develop by two young Californians engineers, Alex Dupont and Alex Dupont, the program is a list of questions who check the probabilites of a disease. For example, if a doctor have a patient with a dyspnea, the doctor can check the case of the dyspnea and the computer displays the probabilities of a cardiological problem and a pulmonary problem ! This invention permits to all people in medecine to hope a future with less errors of diagnosis, and a semiological learning simplify by this help. If some people was scared by this intrusion of informatical domain in medecine, Alex Dupont and Alex Dupont are cleared : the program doesn't replace humans ! It's just an helper program, who absolutely need humans to being good. I think it's a huge progress for the medicine : this program permits to us to have less pressure with a patient, permits also to us to be alleviate during the semiological learning ; medecine is a huge knowledge, and I think if we permits to doctors to have a less-pressure learning, it can be benefit for their practise. This innovation allows also medicine to open window on the future : if we include informatical program in our practise, we can share lot of information between us, increase our mutual experience who prepare us to more different cases of diseases. So, I think everyone is winner with this type of progress : patients, who are being more successful treat, or doctors, who can do more correcty their job !",0
A2,A2,10.0,French,Material_sciences,0.0,0,1.0,Anglais,A2,never,,"I will write about an fabulous instruments use in many experience and in many domain from medical to the defence, the L.A.S.E.R.
 	A L.A.S.E.R is a acronyme for « Light Amplification by Stimulated Emission of Radiation ». It is a device that generate an intense beam of coherent monochromatic light. This device is very usefull in vary domain of application since many decade.
 	  The principe of L.A.S.E.R was established by Alex Dupont in 1917 but the first model of L.A.S.E.R was build in 1960 by Alex Dupont. The L.A.S.E.R is a electromagnetical wave, most the frequence is low most the energical is hight. With this high energie , we can have a big application in la little surface.
 	The laser use for the medical traitment for exemple for eye operation but the laser have most application like optical disk driver or barcode scanner and more laser printer. Lasers have a impacte important on the current life. The laser is a subject important in physic and be use for example to mesuring a distance or to create hologramme
In my opinion, L.A.S.E.R is a great invention that revolution so many domains. Is the first experience do in the Alex Dupont school and is a fun experience as the slot in the young and the interference.  Is a advance and scientifical because the physics modern rests sur the experience.",0
A1,A1,9.0,French,Life_and_environmental_sciences,4.0,2,3.0,Anglais,A2,monthly,,"I discover an unexpected invention few weeks ago. In some poor Country, there is no runnig and potable water. That's why a lot of scientist try to do an easier life for the inhabitant. This invention has been base on the fact of change no drinkable water to potable water.
 I think this invention is giving a new futur for poor country.
Maybe, this will be the begin of the devellopement for the poorest country.",0
B1,B1,9.0,French,Medicine,2.0,1,4.0,Anglais,B2,weekly,,"The scientific discover I am going to right about is PMA (Procreation médicalement assistée in french). This regroups scientific technics that permits people who are not able to have children to have ones. That can help women as much as men who are not fertils.
First of all, if a in a couple the man is sterile, like if his spermatozoïde are not good enough to do the ovulation, the couple can have access to the sperm of an anonymous person who have gave his sperm before. Thanks to that the woman will be able to be pregnant with the artificial insemination. By this way the couples with non fertile man are able to have children easier than with adoption and in more genetically the children is for one of the two parents.
Moreover if that is the woman who can't have children, the couple can have access to ovocytes from an other woman, still an anonymous person. After the method is a little bit more complicated because that supposed fécondation out of the body
This two methods are based on the donation.
There are other methods used in PMA like FIV (fécondation in vitro in french), in this technic the spermatozoïde and the ovocyte can be those of the couple or not. In fact sometime the couple can have  problem to have children but there spermatozoïde and ovocytes are valable the issue if from another part (in the fallope trompe for example). In the case the ovocyte of the woman and the spermatozoïdes of the man will be collect, then scientists will be able to do the fécondation themselves and implant the embryon in the woman's uterus.
These are only a few of example of what can be possible with the PMA, there a still other possibilities to make the parents dream true.
 In my opinion PMA is a revolution for all the humanity. Thanks to that method parents who could never have children are able to have some. That makes possible the dream of the parenthood. Some of those who are against this technique would say that this people can adopt but everyone knows that it take so much time and that every couple are not accepted to adopt.
Nowadays we are talking to give the possibility to woman who live alone to have access to the sperm donation and also to couple of lesbians, that is a huge evolution but all our population is not able to accept that. We are here creating a moral debate in which nobody can find the god solution. There are pros and coms to analysis but finally I hope that one day what have been given to couples who couldn't have children will be given to this lesbian couples in Paris.",1
B1,B2,13.0,French,Computer_science_and_electronics,2.0,0,21.0,Anglais,,daily,Other,"During my last internship, I had to work with a technology called BLE (for Bluetooth Low energy), on a computer running Linux, and it caused me a lot of pain. This configuration nececite using a logiciel called BlueZ, which is amlost undocumented, and an other logiciel called DBus, allowing the communication between a program and BlueZ, which is also almost undocumented. Even on the website for DBus, it's said that it's not recommended to use it as is, but we need to use some library created by a third party which implements DBus in the programming language we want to use, and here again, from the few possibilities, some are deprecated. The pain doesn't end when we can make a program run, because BLE (at least the version from BlueZ) seems to be inherently broken, with sometime crazy comportments that comes out of nowhere. For example the bluetooth pairing, it's the process granting various level of security depending on the method used, for some reason it can work absoluely fine, for successive connexions, and then break while connecting after having rebooted the device initiating the pairing.",0
B1,B1,8.0,French,Sports,4.0,0,5.0,Anglais,B1,,,"Free diving is an old extreme sport but nowadays, it is more and more practice. Besides, now, we can find competitions and they are better known. Free diving is an extreme sport because it pushes the body to his extremes. Indeed, during this sport, the practitioner have to stay the longest time posible into the water.  For that, the athlete have to keep his breath for a very long time. The record is about 22minutes in static apnea. But there are dynamics apnea too. In this practice, athlete have to moove during their free diving. The goal of dynamic apnea is to go the most deepest possible. The record is 118m. Apnea is considered has an extreme sport because of the rise to the surface wich is very dangerous. In fact, the lungs can explode if the underwater diver rise so fast. Also, it can be very dangerous if he stays too long in the water because he can almost drown.
The most dangerous type of free diving is the « no limit » apnea. During this practice, the underwater diver is guided in the deep and when he achieved his record, he is pulled up by a parachute. The biggest records are achieved during this type of competition.
In my opinion, apnea is a very dangerous sport if it is practiced without training. Indeed, there are different types of apnea. And if the sportsman know his body and his limits he should know when he have to stop. Moreover, apnea is something very popular in the world. Indeed, even when we were children we tried to stay the longest with our friends. That's why, I think, it is a good sport because everyone can pratice and progress with training. But I think we have to put a limit. Indeed, we can not propose something as the « no limit apnea » and the apnea in deep because it takes a lot of training before testing.",0
B2,B2,10.0,French,Life_and_environmental_sciences,0.0,0,2.0,Anglais,B2,weekly,,"Antivenom :
 An antivenom is an antidote acting towards the poison of stings and bites of  venomous animals.
 It’s first apparition date back to the early 1900ss, and is base on the principle of  vaccine from Alex Dupont. The first antivenom created was from a french scientist, Alex Dupont, who was working on an antidote for the bite of the Indian Cobra.
 The antivenom is made by injecting as small amount of the venom you wish to counter into an animal, once the subject have antibodies you take the plasma, which now contain antibodies concentrate against the venom, and inject the patients with it.
 It is able to stop further damage but cannot undone already done harm, because of that the serum must be given as soon as possible. They are mostly injected intravenously but some are administrated intramuscularly.
 However If they can save your life by binding and neutralizing venom there are not without consequences as side effects can be severe: they can include serum sickness, a type of hypersensitivities, shortness of  breath and allergic reaction.
 I find this discovery really useful. Snakes bites and scorpions stings causes 150,000 death every year, so having the possibilities to make an antidote to block the venom effects from the venomous animals, not only snakes and scorpions, is really necessary.
 Especially today where people are able to fly and go wherever they want, among other place like Paris or Paris who contain some of the most dangerous poisonous species like black taïpan or royal cobra. All the more as people who travel do not always pay close attention to their surroundings or the signs of animals clearly stating they don't want the human being approching closer.",0
B1,B1,7.0,French,Computer_science_and_electronics,3.0,5,15.0,Anglais,,weekly,None,"Today, I choose to talk about football. You maybe wonder why I choose this subject ? The answer is pretty simple, I definitely love football. Indeed, I spent a lot of time playing or watching it during my whole life.First of all, I start to like football by playing it at school when I was around 6 years old. Then, because my parents were not huge fan of football, I started basketball in club. Indeed, they like a lot more basketball so I was wanting them to come see me during competitive match. But then, my basketball was too much yelling on me so I decided to leave the club and to try another sport. That’s why I started tennis for a year, but I was not really good and not enough tired after training’s session. Finally, I chose to do what I like more : football and I was immediately a good experience. Indeed, I played football a lot with my friend before playing in club so I was already a pretty good player.
That’s how I became a football enjoyer. But let me introduce why I choose this subject right now. Let’s talk about the impact of football in my life and in every football enjoyers life’s. First of all, I think sport is a very important thing for health, and I think football is a quite complete sport. Indeed, football makes you practice a lot of muscles so we can say football has a huge impact on our health. But what I really want to talk about is the impact of the mental health : football is a sport that is gathering people around a same club or a same country. I admit that sometimes it has a « bad » impact because your favorite team loose a lot or loose an important match but I think this is nothing against what football brings when your team is winning or when you are singing with a bunch of people to enhance your favorite team… I think that wether you are a player or a supporter, football can bring so much emotion that I find this sport so beautiful !
Furthermore, as a sport lover I know that there is other sport that can bring those emotions. For example, I also love watching basketball, mma or tennis. But personally, I’m a little bit convinced that football is the sport which is the most impacting me.
To conclude, I think that sport or even e-sport are very important things to be interested in because it allows you to make friend, to travel, to share emotion, to go through so much feelings…",1
B1,B1,10.0,French,Medicine,0.0,0,4.0,Anglais,B2,monthly,,"I'm going to talk here about the NGS : Next Generation Sequencing. It's a kind of new technologie that permits to get the sequence of the entire genoma in a short periode of time, and with fewer costs than earlier technologies.
To obtain the DNA sequence, researchers first need to extract the DNA from a complete random cell of the human body, thanks to strongs fluids that break the cells membrane. After precipitation, they harvest a double complete filament of DNA. The second step is the Denaturation to obtain a simple filament, after that they do what we call PCR is amplificate the sequence, then they put all the fragments they harvested into a solution with dNTPs (nucleotids that don't have an OH at the end of their molecule so that they create a blocage when they are inserted into the complementary DNA sequence) and normal nucleotids.
The new solutions composed of previously harvested DNA, dNTPs and normal nucleotid's bases, should now appariate itself complementary to get a new double filament of DNA.
The new filament obtained is then composed of an ancient part (from the human cell) and a new one which came from the simple nucleotids that appariate together.
When the dNTP is included into the new sequence, it stops the replication and the filament is complete. Thanks to the previous PCR they obtain those filaments in large quantity, with differents sizes and endings due to the differents lasts dNTPs that have been incorporated during the replication.
Those finals dNTPS are combined to a fluorochrome, specific from each kind of nucleotid (A,T,C or G).
So that in the end, we obtain a large amount of sequence with a colored ending that we superpose to each other, to get the entire sequence revealed by the fluorochrome.
This technic permits to reveal mutations in a single one nucleotid base, to diagnost a pathology.
 This new technic is a relly considerable advance for the genomic field. An anction who used to take years and thousands of dollars, can now be done few hours for 1800$. It is also a lot more precise, because I remind you that we can see mutation for a single nucleotid and visualazing the entire genoma of a person base after base. The diagnosis of gneomic pathologies is a lot more precise.
However, we need to be careful with the selection of genes to get  perfect individuals and eradicate all defaults that we find in the human being.",1
C1,C2,12.0,French,Pharmacy,2.0,2,10.0,Anglais,C1,never,,"In the past, people used to get diseases with a high death-rate because of the lack of treatment. In the late 18th century however, thanks to the discovery of vaccination, these diseases got less important.
Vaccination has been discovered by Alex Dupont during an epidemy, causing pustules all over the body first, and then complications such as difficulty to breathe and high fever. However, he saw that children working with cows were not as much affected by the disease, they only got one little pustule. Therefore, he took what was inside this unique pustule, and injected it in a baby's arm. This baby never got the deathly disease either.
The method to create vaccines is almost the same nowadays. We use either living or dead viruses, depending on the disease.
 Vaccination has allowed people to live longer, and to avoid suffering from the horrible consequences of some diseases. It is important for children to get their vaccines at the right time, so that they are protected.
It is a great discovery, however some people are trying to convince everyone not to get vaccinated. It is their risk to take, but I would rather not die from a disease that has no cure if I get a vaccine.",1
B1,B1,10.0,French,Information_and_communication,1.0,1,2.0,Anglais,,monthly,Spanish,"Today I am going to talk about a photography taken by Alex Dupont named « The little girl a Napalm ».
In this photography, we can see children who are running on the road. Behind them there are soldiers. They are all trying to escape the smoke in the background.The picture is in black and white. The child on the middle is naked because the smoke have burnt his clothes, children are screaming and scaring because their lives are risked.
I have decided to take this picture because It is a famous one who is the symbol of the Vietnam war. The brutality of this war was hidden to the American’s population, and when this picture was public on the press, it have shocked a lot of Americans, and that’s why this picture is the most famous about the Vietnam war.",1
A2,A1,10.0,French,Education_sciences,3.0,3,0.0,Anglais,A1,never,Spanish,"I think in first at the Montessori concept. Is an education concept wich will be the children choose her or his activities for learn. Is possible to see this education method in class with teacher for example. In this method the child is responsably and autonome in her learn. The role of the teacher is to make in classroom the necessary of pedagogy game, for the children. The child play during all the day. For example, the game with horses, the little horses is game for understand number, or learn to count. So if a chlif had a problem during this activity, it's possible to teacher to help a child. The child say what is good for his, and say that it's possible to learn having fun all of discipline.
 For me, this education method is a good alternative for top down learning. She permitted at a child with trouble of comportement to play and to learn. Because is really difficult for a child with this problem to be in chair during all one day, he need to movement for make in place concentration. And I think the game is a distraction so for a child to had difficulties for example in mathematics. It's possible to make in place the game with little horses for learning to count in heart. This alternative is funny, and permet at a child more and more stressed in front of an exercice in papel to relaxes and to learn also in front of a game.",0
B1,A2,10.0,French,Material_sciences,0.0,0,0.0,Anglais,B1,never,,"Three years ago, during a school redaction presentation, I was discovered Alex Dupont and his companies : SpaceX and, of course, Tesla.
My work at this moment is space research and its relation with artificial intelligence. So SpaceX was the perfect company for this presentation.
In start, my group and me during this work, we was thinked the project Mars One is wonderful, idea to colonize Mars is science-fiction, but it is real ! And the space research is always been a dream of discover for me.
In second time, the relation between Tesla and SpaceX permits to talk about artificial intelligence, because Tesla Motors Company has a very well experience of utilisation of AI in its vehicules: capacity of a programm to ""see"" environnment and evolve with it it is impressive. The AutoPilot (technology in Telsa cars) can parking the vehicule by itslef, drive it on national road.
In finish, this scientific area (space research) is in center of news for next year, and it is always interesting to talk about a futuristic subject, permit to have the attention of reader, o the person in front of we.
In conclusion, my group and me had worked with much interest in this project.
 In my opinion, this work in group was very interesting in perosnal development and learn differents things like manage the work
and found information.
In sart, managment in the group during the work is very important, because quality of presentation result it.
After, personaly, the discover of this content permit to develop an interest for SpaceX and the sapce research in general. Today, I'm very passionated by these company yet.
In conclusion, this study is important for me, permit to evolve my mind and satisfy my curiosity.",0
C1,B2,11.0,French,Life_and_environmental_sciences,0.0,0,5.0,Anglais,B1,weekly,,"Alex Dupont
I am going to talk about experimentations about acrylamide. Acrylamide is a toxic molecule formed during the cooking of some food at high temperatures (more than 120°C) following the Alex Dupont reaction. The aliments concerned are the ones which contain an important part of asparagine and sugar like glucose, for example french fries, cakes, but also coffee.
 Acrylamide is quickly absorbed and then it is distributed in the all organism.
 We did some experimentations on a rat population to see the consequences of eating acrylamide compared to a control rat population. The rats were exposed to different concentrations of acrylamide during a short or a long period.
 The effets of this molecule were really clear. Indeed, the population which ate acrylamide presented a lot of damages.
 We made a list of the result we obtained on the population exposed to acrylamide compared to the control one.
 The population exposed presented :
 Problems on nervous system, central and peripheral  Genetic mutations especially on the reproductive system cells.  Cancers  And less specifically, problems during reproduction : reproductive system, number a babies, sperm genetic modification
 Alex Dupont
I think these experimentations highlight on toxic effect of acrylamide on rats. Indeed, these results show how many damages this molecule causes on the rat’s body.
 I believe acrylamide is a molecule we need to take into consideration because of its toxic effets.
 But I also believe we have to be vigilant with these results. Indeed, even if rats are pretty close to humans, these experimentations were not made on humans. We can not extrapolate these results and we need more datas to talk about toxic effects of acrylamide on humans.
 Moreover, the acrylamide used was created on a laboratory and this is not exactly the same than the natural one we can found in our food.
 Even if the results are not complete, some advices can be given. Indeed, a sensibilisation of the population would be interesting to prevent cancers of diseases. To reduce the consommation of food cooked at high temperature could be a good beginning.
 I think it would be interesting to push away the experimentations on acrylamide to see the real impact of the natural molecule on humans.",0
A2,A2,13.0,French,Information_and_communication,0.0,0,63.0,Anglais,,weekly,Spanish,"The crying woman is a painting painted by Alex Dupont. This work represents the violence of Alex Dupont inflicted to his wives during their wedding. Often mentioned like a big artist, this artist for me is just the representation of problematic men. For example the mysogine, a banalized violence, the lack of feminism in his portraits. So, the patriarchate in the world is a perfect exemple of this work.",0
B1,B1,7.0,French,Information_and_communication,0.0,0,3.0,Anglais,A2,monthly,Spanish,"In relation to my specialised field i will talk about the invention of Morse code in communication. Morse code is a code for communicating be means of a sign, a gesture or something else. In the years before, Morse code was very useful in communication especially via a radio signal that is switched on and off.
 I think that this invention was very useful years ago, but today it is not really useful anymore.",1
