Date_ajout,pseudo,Voc_range,CECRL,nb_annees_L2,L1,Domaine_de_specialite,Sejours_duree_semaines,Sejours_frequence,Lang_exposition,L2,Note_dialang_ecrit,Lecture_regularite,autre_langue,tache_ecrit,Texte_etudiant,Section_renforcee
2022-09-14 14:27:00,13dd905c1e6a554b1d2bdf299a7542ff672d37006dcadb53bc6387063e505c4c,B1,B1,12.0,French,Information Communication,165.0,7,21.0,Anglais,,hebdomadaire,Espagnol,Tache_2,"I decided to study information and communication in order to become a journalist.As a matter of fact, I was always intrigued by criminal cases, always fascinated by the way journalists would look for criminals and witnesses to look for the truth behind the theories. This is the reason why I decided to go for this kind of studies, in order to do a master in journalism and become one of these persons that look out for the truth.
Furthermore, these criminal cases are well structured, well told, well filmed, and well informed. I would love to think like a journalist, chase like them, and have the same state of mind. I think they are wonderful people, some of them are problematic, indeed, but those that I admire are remarquable.",1
2019-03-22 11:15:00,3ef0872c7f2c5426e03a670b3822f052740746306b48a1eb3c98ebe36e0e6375,B1,B1,12.0,Turkish,Sciences et proprietes de la matiere,0.0,0,0.0,Anglais,B2,quotidienne,,Tache_1,"I will explain you my last practical work. It deals with photoelectronical effect, which verified the law and the quantification of radiation.
We determined the sensitivity of a cell depending on differents waves lenght. The curve of the experience shows a straight line so we deduced that the sensitivity of the cell is proportional to the wave lenght. But the problem is that the efficiency is not so high. We remade this experiment with a fixed wave but differents voltages. We notice that we had now a straight line too but it is inversely proportional.
Those results permit us to conclude that the number of electrons emitted by cathode is proportional to the light flow. And the kinetic energy of photoelectrons is independent of the light flow. It depends only on exciting radiation's frequency.
 The efficiency is too low to be used but it is just for this material. The maximal efficiency we have is around 40% to 50% which is not enough. So we have to continue our seek on this topic until we find a performance around 80%.",1
2020-10-20 08:10:00,de98070a9b34610eed2d65ceab3299ef0f16d99a4387b52a91fea26c82c8ef98,B2,B1,9.0,French,Sports,0.0,0,2.0,Anglais,B1,,,Tache_1,"Freeline skate il a new extreme sport. He was invented by Alex Dupont in Paris, in Paris but it is much more popular in Asia. It beginning to develop in Europe and in Paris few years ago. It is practiced with two little plank of wood, smaller that a foot, and connected with two wheels for each foot. The planks are not fixed at feets so we can manipulate them like we want, we can take one with a hand or totally remove to do some figures. The objective is to do the figures the most complicates and impresives or go as fast as possible. It is practiced in the street, where the floor is plane and the espace is suffisant for do figures and go as fast as possible or in skateparks. It can be dangerous because it's hard to controllate, we need a lot of experience to learn to keep our balance and realize some basic figures, I think it's harder than skateboard or longboard because the balance is much complicate due to the two parts and the size of the skate.
 The injuries who we can see are commotions, bruises, contusion, broken bones or muscle injuries because we can easly fall in a bad position. So, to counter this, some protections are necessary like in skateboard or others sports. Helmet, knee and elbow protections are obligatory and others like chestplate, boots and tibia protections can be good for a full protection. Moreover some active streching and muscular training can be good before practicing to avoid the muscular injuries. The benfits of freeline skate are a developement of creativity, moticity and can give some freedom. Also, it can learn some moral values like ""Never give up"" or ""Always get up after falling"".",0
2022-09-12 14:46:00,73f069fbb5b6abc1d75daa5511578d26ece9cee44bc1bc483b96dd3488c04679,A2,A2,9.0,French,Sciences de l'education,0.0,0,7.0,Anglais,,mensuelle,Espagnol,Tache_3,"Hello, I'm writing to you because I would like to have a scholarship for travel to another country for six months.
I would like to go in Paris for many reasons. Indeed, Paris is a country how I know anything of his culture, his landscapes, his traditional foods. And I love discover a lot of country and meet people who have different origin.
Moreover, I think is a good experience for myself, for become more independent, more open minded.
Finally, in my life, I traveled in a lot of country, for example in Paris, Paris, Paris, Paris, Paris....... But now I would like travel outside of Europe.",0
2022-09-14 14:43:00,985da80446238a1decef477e2d0d88af2ede36e4c567afc15cc26e96b6350c1c,A2,B1,7.0,French,Histoire,2.0,1,10.0,Anglais,,jamais,Espagnol,Tache_2,"Since i am Alex Dupont, i am a football fans. With my dad we seen together many football games and i loved that. One day i have seen the 1998 world cup finals, with my dad, and during this game, i listened attentively to the commentator, Alex Dupont. Over the course of the game, i fell in love with his away of commenting, and since that day my dream is to become like him a journalist, sports commentator.
His enthusiasm, his way of commenting, his passsion, his voice, his culture, and espicially his famous sentence: ""After that we can die quietly"". All that, made me love and admire Alex Dupont.
So, since the high school, my dream is to become sports journalist and sports commentator. During many years, I watched games carefully while listening to commentators. I watched many football games so i could learn how to be in front of a the public and this attention increasling fuelled my desire to become a sports journalist. That's why in my final year in high school i applied to different unyversities including rennes 2 to hope to realise my dream to become sports journalist.",0
2022-09-12 14:47:00,7157b1c7651674f8025c23a083ad556ac07af33c13e7174f6d0d65236a42b9c4,A2,B1,7.0,French,Sciences de l'education,1.0,1,2.0,Anglais,,mensuelle,Espagnol,Tache_2,"Today is my first day in Paris 2.Im going to start my first year in education sciences and im so excited to learn about it .This was not easy for me to choose what to do after highschool but since my chilhood ,i was dreaming of being teacher !So i played as a teacher a long time with my friends or my brother in my bedroom that i organized as a class
Also ,my dad (that is my example in differents things )is working with children so he explain to me some keys of education and how it's a nice job but also not really easy sometimes because there is a lot of differents challenges to relieve and i think this is really exciting
I was working with kids in differents situations and what i liked the most is to discover every child with his hobbies ...",1
2022-09-14 11:40:00,2f4984d35a5f27a2899ef9491c277674a1b13206be77b6406210b4a783cdc372,B1,B1,13.0,French,Sciences et proprietes de la matiere,0.0,0,4.0,Anglais,,hebdomadaire,Allemand,Tache_3,"I will treat about the task 3. However, I will not ask for a grant so as to go abroad or to do an internship, I will ask for subventions for the BDE, which I am taking part as the co-president.
Hello,
I saw your first opinion about the subsidies we as the BDE are asking for and I wanted with this e-mail do some precisions about it. Let me remind you what the BDE is doing for the life of the school and the life of the students. We are truly taking part to the animation of the school by many ways. First of all, we are the link the students and the administration need at any time. If a student has a question to ask to administration about the possibility to make an internship abroad or even an useless question, he can instead ask to us and we would be able to answer him.
Secondly, we are a real backup for the administration. The BDE is welcoming new students by making a small speech the first day. We are also present for some events like the graduation ceremony or the open doors day. The BDE also has a ""tutoring pole"" which is really helpfull for students that may have some difficulties in a few classes. That allows the school to maintain the amount of people interested in the education given by the school.
Then, the last part but not the least, the BDE is during all the year organizing partys, events, sports meetings and inter-schools tournaments. First duties are free to us and just take our time. We are volunteer to do that, but in return we would be gratefull if the school accords us subventions. Indeed, events we are organizing are non-profits events. Actuallly, we lose money on these events.
For example, at the end of september, one of our biggest event will take place : the integration week-end, also called the WEI. During a full week-end, starting from 5 pm on friday to 3 pm on sunday, new students will party, play some games and basically have fun. The camping is secured and a secourists team will be on place. It is a fundamental event for all the students in the school. We have to pay a company that organize such events for that. Unfortunately, we will not be able to pay all the charges without your help.
Sincerely yours,
Alex Dupont, co-president of the BDE",1
2018-11-09 15:59:00,43da3619662e7372f522308ecbd2e9f4e28ca2d07e7cd2845d07c1c5763a3639,C1,B2,14.0,French,Informatique et electronique,1.0,1,10.0,Anglais,B1,mensuelle,,Tache_1,"As I have no idea of what I should talk about. I think the best thing to do here is explain the last thing interesting I saw on the internet. So, earlier this week, the Blizzcon 2018 took place in Paris. The Blizzcon is organised by Blizzard, one of the most famous firm in the video games industry. This year they announced a lot of new games that'll be available next year. The one that caught my attention is Warcraft III - Reforged. Let me tell you about Warcraft III first. Warcraft III is a RTS (real-time strategy) that went out in 2002. It was one of the best game at the time due to a stunning and very rich lore, also the gameplay was really immersive for the year. What is very interesting with the Reforged version is that it will be the same game but, with everything upgraded. The developers are making a new interface, new characters models, new campaigns and scenarios and mainly the game will support the 4K which is awesome as we had to play in very low quality.
 Consequences of this annoucement are multiple. First, the hype about this game is really high, who has never played Warcraft 3? Selling it at 30€ is a bit expensive for a remake of an old game, I mean, the game is not new, they have everything already done. They just need to do it again with today technologies. Also, it's quiet certain that Blizzard will organize e-sport event around W3 Reforged to make money. A game like that can gather a lot of players because it awake nostalgia in everyone older than 20/25 years old.",1
2018-10-08 15:59:00,9bc35a0d73254213a6789e69427be2ef38fc22fafacbc21d0592dfdeb7fe8e67,A2,A2,11.0,French,Pharmacie,5.0,3,2.0,Anglais,B1,jamais,,Tache_1,"Since October 2017, a new vaccine have been traded in Paris : Gardasil 9. It contains 9 types of papillomavirus while the previous one contained only 4 strains.
It's a non obligate vaccine. The Sécurité Sociale pay the vaccination only for women between 10-17 years old (also for women until 19 years old if they are virgin).
To be totally covered you need 3 injections spaced of 2 months.
This discover can avoid a lot of uterus' cancers.
 In my opinion, it's a good thing to develop and improve the world of vaccination. It can save",1
2022-09-14 18:50:00,e0e06a2caf451d03596f91f29783c3a88f65bafc237036d0e39146f235ad42e3,A2,A2,9.0,French,Information Communication,0.0,0,12.0,Anglais,A2,quotidienne,Aucune,Tache_3,"Dear Sir or Madam
I'm writing to you because I wished to have a scholarship for a gap year. Indeed, I would like to discover the world and help people in need (distribute food....). This scholarship will help me to realize different goals (help people in need, discover the culture, learn to live with other people...).
Through this experiences I could be responsible and independent.
I'm looking forward to receive your answers.
Yours faithfully.
Sign.",0
2022-09-14 14:33:00,170682d0e8558abe3239722fe44fa69b84764fe31ce77cfde4c58831cbc8dba1,A1,A1,10.0,French,Information Communication,0.0,0,1.0,Anglais,,mensuelle,Espagnol,Tache_2,"The source of my inspiration came to the worker of reporter sportive, Especially football. I really want to work in this industry. I thought during long years working in the e-commerce but the last after one year in BTS NDRC,  I make a discovery, a new passion.I play football since my 6 years old but i never thought i can work for a web Tv on football. And I never make careful at the reporter, the debrief after the game and the analyse of  the game. In Paris we have so many Web TV on football, “RMC Sport”, “L’équipe 21” and “SO FOOT” for example. Football is my passion. I can watch so many game in just one day. So I chose this formation, the L1 information communication because I need to upgrade my general culture and my expression write, I think after my three years here in the university of Paris 2 im going into a Master of Journalism and why not after working for RMC for example. I don’t really know if I want to be a reporter on the ground, the guy who’s going make a interview with the player after the game or the guy most in the analyse of the game on Tv. I think I need more time and the school gonna help me.",1
2018-11-09 15:53:00,f19d18c5d0adde18c6c88a68ee69bb2f5a1ca19495e6b26e47fc9f84433c17df,A2,A1,3.0,Arabic,Informatique et electronique,1.0,300,1.0,Anglais,A1,mensuelle,,Tache_1,"Last year i made many applications in android language , i have read courses in internet that helped me so much because this is the first time that i work with the android language.
this is application is about baby photos frames.it's know on google play store  and i took five stars and it have downloaded by many person also i's shared on social media like facebook.
 i like very much this experience because i discovered the self education wich allow me to have more selfconfidence so making me more skills and i can learn other language. this experience gives me the Opportunity to overcome the challenges.",0
2022-09-12 14:37:00,a623b15910d3b53cc89c828d5e088b0dd4beeef964271c616e07e5485fd56130,A2,A2,9.0,French,Sciences de l'education,0.0,0,5.0,Anglais,,mensuelle,Allemand,Tache_2,"When i was a child i used to play the teacher with my friend, alone or with my little brother. I know that a lot of kids do that so this is not really an excuse but i really think that it help. Today this dream of little girl is a dream of me right now, i want to be a teacher for a lot of reason and a think that the little me knew that. At first i wanted to do psychologie because i think that this is important to know everything about the human and all of that before study to child. Unfortunetly psychologie didn't want me but science of education do want me so why not! This licence is perfect for my dream and to be good in my job. I think that being a teacher is my destiny, children is the futur and i want to have a role in this future. I want to be a good teacher and a good source of inspiration for little kids. Teacher have a big roles to play in the children life and i take this responsability very seriously. I love children and working with them will not be a job but a pleasure.",1
2022-12-12 15:27:00,348f601e485a434a2b3f348963b9968645bafc807c6fcd8e786370eee570ea75,B1,B1,3.0,French,Information Communication,4.0,2,6.0,Anglais,,hebdomadaire,Espagnol,Tache_2,"I choose to learn information-communication this year because before, I wanted to be a journalist. But now, we are in december, and I know now that I don't want to be a journalist. In fact, I want now to be a planner (and not just a wedding-planner). Speaking english is very important, in this licence and more in this job. Sometime we have to talk with other people, and everyone speak english. I choose this licence and this university because we can go in an other country, learn and work with people in the Paris... Most of my friends want to be journalist, they want to work at the TV, on the radio... But I think that the licence Information-Communication can be benefic for everyone: We learn to speak, to argument, and most important, we laern to use carefully social networks. Why ? Because social networks are now a tool to work.
I want to be a planner because I love to organize some event. Since I am in Paris, I organized a lot of events for association (like Ride Like Share), but thanks to my studies, I do also the communication around events (on social network, making post, but also poster, flyeurs...). Making event, step by step is now my favorite activity. More, with this job, you make your friend, familly, and people happy.
As I said, before I wanted to be a journalist, since I was a child. I always saw journalist on the TV, but also in my familly. Making interview, meet famous people... but I think it is a very hard job today, in our society. Journalists want to inform the world of the news but sometime it is dangerous. For example, today in Paris, or in Paris, or in Paris, a lots of journalists were killed just because they were here, just because they were doing their job. But we need journalist, without, how can we know what happend ? So for that, I am happy that my friends want to be journalist.
 This webpage performs keylogging of input into a textbox. In other words, when focused on the textbox below, the page will record each time you hit a key or select text with your mouse. All of the data is stored locally on your machine in the DOM and is downloadable as a JSON file. More information about the motivation of this project and the format of the produced data are available here.",0
2022-02-08 17:44:00,13c9d72959aa0e1eefb1ce75f206d744d841ceaabc53bfdc3b74534b292cf1e6,A2,A2,11.0,French,Sports,4.0,3,2.0,Anglais,A2,mensuelle,Allemand,Tache_1,"I practice and i see lot of football's game. That's why i'm going to talk about the VAR in football. The VAR it's a tool to help referee to can make a judgment when the action is difficult. The VAR was introduice since five years i think maybe four. It's a subject to debate in lot of situation. Because VAR can see image invisible to the naked eye. So thats why some questions on VAR are posed.
In a first time, i give my opinion.
And in a second time, i would try to give the positifs points and the negatives points.
 For me the VAR can be very interessant to help the referee. I think the VAR is very good for the game in general because all people can be do a mistake and the VAR are here to repare this mistake.
But all people are not agree with VAR. Like Alex Dupont said ""VAR is bullshit"".
I think the VAR can not repare all mistakes but it's a good invention.",0
2022-09-14 11:40:00,260194edcc0347413ce95d4789b9cfc7e2d70f32c8263c8666d22e1074d1e8bd,B1,B1,15.0,French,Informatique et electronique,1.0,1,20.0,Anglais,,hebdomadaire,Espagnol,Tache_2,"In high school, my first idea was to do medical studies. But because you need to be able to learn informations by heart, it was not the right choice for me. I like doing exercises and using what I have learned, it is easier for me to learnywjs by using the notions.
Then because i like mathematics and computer sciences, i thought of getting into an engineering school. My family and particulary my mom helped me to look for the studies I would like. During my last year, I was able to visit the ESIR because i already lived in Paris. I really liked the fact that we were learning and using subject in biology, medicine, and mathematics, computer science, electronics. I found a mix of what I like. So I looked for other engineering school in Paris with the same studies. I also visited the two high school of Paris where there is a ""CPGE""/prépa in physics.
At the end of my last year I chose the prepa. I was not accepted in ESIR and had to wait a long time to maybe have another school in Paris. Moreover, because I was not sure of making the choice of a biomedical engineering school after discovering it so recently. It was too hard to decide to go to a school for 5 years I thought I would like, when the previous year I did not even thought of engineering schools.
During my 2 years in prepa, I was still looking for the school I could get into thanks to the contests at the end. I had still in mind ESIR, Polytech in Paris and I discovered other school wich had biomedical engineering formations.
Because of my grades at the contest, my first choice has been the ESIR.",1
2019-04-09 12:04:00,462e1453fc889ffea4a0400df48628fb3d40bb720cd1b5f5471341eefee0734f,B1,A2,11.0,French,Medecine,1.0,1,15.0,Anglais,B2,jamais,,Tache_1,"I heard recently a prodigious innovation in medecine ; some engineers create an informatic program who permits to doctors, when they see a patient, to check information about the medical case and the program gives to them the disease of the patient ! Develop by two young Californians engineers, Alex Dupont and Alex Dupont, the program is a list of questions who check the probabilites of a disease. For example, if a doctor have a patient with a dyspnea, the doctor can check the case of the dyspnea and the computer displays the probabilities of a cardiological problem and a pulmonary problem ! This invention permits to all people in medecine to hope a future with less errors of diagnosis, and a semiological learning simplify by this help. If some people was scared by this intrusion of informatical domain in medecine, Alex Dupont and Alex Dupont are cleared : the program doesn't replace humans ! It's just an helper program, who absolutely need humans to being good. I think it's a huge progress for the medicine : this program permits to us to have less pressure with a patient, permits also to us to be alleviate during the semiological learning ; medecine is a huge knowledge, and I think if we permits to doctors to have a less-pressure learning, it can be benefit for their practise. This innovation allows also medicine to open window on the future : if we include informatical program in our practise, we can share lot of information between us, increase our mutual experience who prepare us to more different cases of diseases. So, I think everyone is winner with this type of progress : patients, who are being more successful treat, or doctors, who can do more correcty their job !",0
2022-09-12 14:44:00,c903f2f32274166c89ebfd99152b2fafe4ea9b3de96cfd3800e731c4579eae49,A2,A2,9.0,French,Sciences de l'education,9.0,5,2.0,Anglais,A2,quotidienne,Allemand,Tache_2,"Dear,
Today i'm going to explain why i choose to study in Sciences of education.
First of all, i have made two years in philosophy for my personal pleasure because i love philosophy. But, philosophy don't like me. So, i decided to realise my dream to be a social worker and it's why i study here.
I want to be a social worker since i'm 12 years old. I found me in this job, it's all i love. I think people can help people and i want helped people. I think it's like a vocation and i need to be a social worker.
Sciences of education can help me to be what i whant to be.
So, if you have any questions about this vocation, you can contact me for share us viewpoint.
See you,
X",0
2019-03-22 12:53:00,e5cd4d006cb3a50d5abdad90d82658a94c84a63267b509ab95bd6f24f6047247,A2,A2,10.0,French,Sciences et proprietes de la matiere,0.0,0,1.0,Anglais,A2,jamais,,Tache_1,"I will write about an fabulous instruments use in many experience and in many domain from medical to the defence, the L.A.S.E.R.
 	A L.A.S.E.R is a acronyme for « Light Amplification by Stimulated Emission of Radiation ». It is a device that generate an intense beam of coherent monochromatic light. This device is very usefull in vary domain of application since many decade.
 	  The principe of L.A.S.E.R was established by Alex Dupont in 1917 but the first model of L.A.S.E.R was build in 1960 by Alex Dupont. The L.A.S.E.R is a electromagnetical wave, most the frequence is low most the energical is hight. With this high energie , we can have a big application in la little surface.
 	The laser use for the medical traitment for exemple for eye operation but the laser have most application like optical disk driver or barcode scanner and more laser printer. Lasers have a impacte important on the current life. The laser is a subject important in physic and be use for example to mesuring a distance or to create hologramme
In my opinion, L.A.S.E.R is a great invention that revolution so many domains. Is the first experience do in the Alex Dupont school and is a fun experience as the slot in the young and the interference.  Is a advance and scientifical because the physics modern rests sur the experience.",0
2018-10-25 09:21:00,f9a964002073d65e5527b8d323c2d6db9450881be1958f214d443dad5ca9b4fc,A1,A1,9.0,French,Sciences de la vie et de l'environnement,4.0,2,3.0,Anglais,A2,mensuelle,,Tache_1,"I discover an unexpected invention few weeks ago. In some poor Country, there is no runnig and potable water. That's why a lot of scientist try to do an easier life for the inhabitant. This invention has been base on the fact of change no drinkable water to potable water.
 I think this invention is giving a new futur for poor country.
Maybe, this will be the begin of the devellopement for the poorest country.",0
